SKU,UPC Code,Product Description,Brand,Retail Price,Product URL,Image URL,Category,Subcategory,
247288,,SIIG CB CB-H20T11-S1 8ft 4K High Speed HDMI Cable 4K@60Hz Retail,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=247288,https://www.asipartner.com/ocadmin/images/original/247288.jpg,Cables,External IDE,
248092,,SIIG CB CB-US0V11-S1 USB 3.0 AOC Male to Female Active Cable - 50M Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=248092,https://www.asipartner.com/ocadmin/images/original/248092.jpg,Cables,External IDE,
248093,,SIIG AC CE-H26911-S1 1x4 HDMI 2.0a Splitter w Built-in & User Adjustable EDID,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=248093,https://www.asipartner.com/ocadmin/images/original/248093.jpg,Accessories,Accessories,
248094,,SIIG AC CE-H26J11-S1 1x2 HDMI 2.0 4K HDR Splitter with EDID Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=248094,https://www.asipartner.com/ocadmin/images/original/248094.jpg,Accessories,Accessories,
248095,,SIIG AC CE-H26K11-S1 1x4 HDMI 2.0 4K HDR Splitter with EDID Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=248095,https://www.asipartner.com/ocadmin/images/original/248095.jpg,Accessories,Accessories,
248720,,SIIG AC CE-H26H11-S1 USB 3.0 HDMI Video Capture Device w 4K Loopout Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=248720,https://www.asipartner.com/ocadmin/images/original/248720.jpg,Accessories,Accessories,
249168,,SIIG AC CE-MT3B11-S1 Height Adjustable Single Monitor Desk Stand f 13 to 32,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249168,https://www.asipartner.com/ocadmin/images/original/249168.jpg,Accessories,Accessories,
249217,,SIIG Cable CB-TC0J11-S1 USB-C to HDMI 2.0 with HDR Cable 2M OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249217,https://www.asipartner.com/ocadmin/images/original/249217.jpg,Cables,External IDE,
249218,,SIIG Cable CB-TC0K11-S1 USB-C to DisplayPort Cable 2M OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249218,https://www.asipartner.com/ocadmin/images/original/249218.jpg,Cables,External IDE,
249348,,SIIG AC CE-DP0N11-S1 Triple 4K DisplayPort 1.4 to 2 DP & HDMI MST Hub Splitter,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249348,https://www.asipartner.com/ocadmin/images/original/249348.jpg,Accessories,Accessories,
